timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1571140076327,729,Get Id and Secret,200,OK,Create & publish all API's 1-1,text,true,,541,443,1,1,https://localhost:9443/client-registration/v0.14/register,728,0,226
1571140077334,254,Get access token to create,200,OK,Create & publish all API's 1-1,text,true,,473,377,1,1,https://localhost:8243/token,254,0,27
1571140077590,809,Add new API,201,Created,Create & publish all API's 1-1,text,true,,2291,2514,1,1,https://localhost:9443/api/am/publisher/v0.14/apis,809,0,0
1571140078401,23,Get access token to publish,200,OK,Create & publish all API's 1-1,text,true,,460,364,1,1,https://localhost:8243/token,23,0,0
1571140078425,1245,Publish API,200,OK,Create & publish all API's 1-1,,true,,103,334,1,1,https://localhost:9443/api/am/publisher/v0.14/apis/change-lifecycle?apiId=8a183222-f000-472a-bc1f-0aeb1cd4de78&action=Publish,1245,0,17
1571140079671,347,Add new API,201,Created,Create & publish all API's 1-1,text,true,,2306,2529,1,1,https://localhost:9443/api/am/publisher/v0.14/apis,346,0,0
1571140080020,34,Get access token to publish,200,OK,Create & publish all API's 1-1,text,true,,460,364,1,1,https://localhost:8243/token,34,0,12
1571140080055,522,Publish API,200,OK,Create & publish all API's 1-1,,true,,103,334,1,1,https://localhost:9443/api/am/publisher/v0.14/apis/change-lifecycle?apiId=f0a07ed0-0611-4267-a2e4-ea05b2ac14d0&action=Publish,522,0,0
1571140080577,237,Add new API,201,Created,Create & publish all API's 1-1,text,true,,2296,2519,1,1,https://localhost:9443/api/am/publisher/v0.14/apis,236,0,8
1571140080816,17,Get access token to publish,200,OK,Create & publish all API's 1-1,text,true,,460,364,1,1,https://localhost:8243/token,17,0,0
1571140080834,379,Publish API,200,OK,Create & publish all API's 1-1,,true,,103,334,1,1,https://localhost:9443/api/am/publisher/v0.14/apis/change-lifecycle?apiId=212a6ee6-3b19-4854-a962-d1da258e73fd&action=Publish,379,0,0
1571140081213,204,Add new API,201,Created,Create & publish all API's 1-1,text,true,,2323,2546,1,1,https://localhost:9443/api/am/publisher/v0.14/apis,204,0,0
1571140081419,13,Get access token to publish,200,OK,Create & publish all API's 1-1,text,true,,460,364,1,1,https://localhost:8243/token,13,0,0
1571140081433,403,Publish API,200,OK,Create & publish all API's 1-1,,true,,103,334,1,1,https://localhost:9443/api/am/publisher/v0.14/apis/change-lifecycle?apiId=98d13ae1-3932-4d8e-b115-929f881f6ba5&action=Publish,403,0,0
